"Particulars","FG/RM/PM","Group","Sub-Group","UOM","Customer","Sale Group","GST","HSN/SAC"
"PM24-20"" CT 303 Shrink Film (11/12) Micron 1000 gm","PM","Packaging","Shrink Film","0.000","GENERAL","PM","18%","39201019"
"PM24-20 Cavity Blister","PM","Packaging","Tub Bottom","0.000","GENERAL","PM","18%","48191010"
"PM24-21 GM Date Bite Blister","PM","Packaging","Blister","0.000","HOH/Common","PM","18%","39232990"
"PM24-(21O Pet) Top With Black Cap 150 gm","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39239090"
"PM24-22 x 30 LD Liner -375 Guage 2000 gm","PM","Packaging","Liner","0.000","GENERAL","PM","18%","39232100"
"PM24-22 x 30 LD Liner -375 Guage 20 kg","PM","Packaging","PM","0.000","GENERAL","PM","18%","39232100"
"PM24-24x36 PP Woven Bag Blue","PM","Packaging","Gooni","0.000","GENERAL","PM","18%","39232100"
"PM24-24x36 PP Woven Bag Brown","PM","Packaging","Gooni","0.000","GENERAL","PM","18%","39232100"
"PM24-24 X 36 PP Woven Bag Yellow","PM","Packaging","Gooni","0.000","GENERAL","PM","18%","3926"
"PM24-25""CT 303 Shrink Film","PM","Packaging","Shrink Film","0.000","GENERAL","PM","18%","39206919"
"PM24-300 Dia Two Pc Tin Cans With Easy Peei Off + Plastic Lid 50 gm","PM","Packaging","Tin","0.000","GENERAL","PM","18%","39233090"
"PM24-32x48 PP Polythene Liner Bag 50 Kg","PM","Packaging","Liner","0.000","GENERAL","PM","18%","39232100"
"PM24-350 Ml Bottle Matki 350 ml","PM","Packaging","Glass Bottle","0.000","HOH/Common","PM","18%","70101000"
"PM24-38x38 Label","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24-3D Transparent Pouch 250 gm","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39231010"
"PM24-48x31 White Liner Bag","PM","Packaging","Liner","0.000","GENERAL","PM","18%","39232100"
"PM24-48x32 PP Polythene Liner Bag 5 Kg","PM","Packaging","Liner","0.000","GENERAL","PM","18%","39232100"
"PM24-500 Gm Blister Top/Bottom 500 gm","PM","Packaging","Blister","0.000","GENERAL","PM","18%","39232990"
"PM24-500 Ml Oval Transparent Container With Lid-Dates 350/400 gm","PM","Packaging","Tub","0.000","GENERAL","PM","18%","39233090"
"PM24-500 Ml Sqaure Pet-73 mm Neck With Trans Cap & Wad Square Bottle 250 gm","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39233090"
"PM24-50mm x 25mm 2AC Chromo Label 300 mt","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24- 50X25mm-Chromo Labels -Plain","PM","Packaging","Label","0.000","GENERAL","PM","18%","48211020"
"PM24-5 Grain Cereal Granola (Standy Pouch) 300 gm Digital Dark Chocolate","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","39233090"
"PM24-5 Grain Cereal Original (Standy Pouch) 300 gm Digital","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","39233090"
"PM24-5 Grain Cereal Printed Cup Pp, 5 Grain Cereal 50G-Original 50 gm","PM","Packaging","Cup","0.000","HOH/Common","PM","18%","39233090"
"PM24-5 Grain Choclate Cereal Printed Cup Pp, 5 Grain Cereal 50G-Dark Chocolate 50 gm","PM","Packaging","Cup","0.000","HOH/Common","PM","18%","39233090"
"PM24-5 Kg Printed LD Pouch (14.25x18x325) 5 Kg","PM","Packaging","Pouch","0.000","GENERAL","PM","18%","39232100"
"PM24-5 Partition Season Greeting Corrogation Box Big Red 800 gm","PM","Packaging","Hamper-Box","0.000","HOH/Common","PM","18%","48191090"
"PM24-600Ml Tub With Container Lid And Handle 250 gm","PM","Packaging","Tub","0.000","HOH/Common","PM","18%","39232100"
"PM24-63 mm Golden Cap 350 ml","PM","Packaging","Cap","0.000","GENERAL","PM","18%","83099090"
"PM24-700 Ml Round Pet-73 mm Neck-With Trans Cap & Wad Square Bottle 400 gm","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39239090"
"PM24-70 mm x30 mm Matt Inkjet","PM","Packaging","Label ","0.000","GENERAL","PM","18%","39239090"
"PM24-70mm x 80mm x 1 Ac Chromo Labels 500 Per Label Roll 250 gm","PM","Packaging","Label","0.000","GENERAL","PM","18%","48219010"
"PM24-82 mm RO Caps Reliance PGP 500 gm aluminum","PM","Packaging","Cap","0.000","RELIANCE","PM","18%","39235010"
"PM24-83mm Round Pet Jar 1100 ml Cap Pet With Wad 500 gm","PM","Packaging","Pet","0.000","GENERAL","PM","18%","39233090"
"PM24-8 Dates Printed Box 500 gm","PM","Packaging","Box","0.000","HOH/Common","PM","18%","48191090"
"PM24-Abjosh Manuka Pouch 100 gm","PM","Packaging","Pouch","0.000","Dmart","PM","18%","39233090"
"PM24-Acrylic Stand For Display 100 gm","PM","Packaging","Stand","0.000","HOH/Common","PM","18%","39232990"
"PM24-Ahlan Dark Chocolate Dates Pouch 13 gm Digital","PM","Packaging","Pouch Roll","0.000","Ahlan","PM","18%","48219090"
"PM24-Ahlan Milk Chocolate Dates Pouch 13 gm Digital","PM","Packaging","Pouch Roll","0.000","Ahlan","PM","18%","48219090"
